"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
997.410354309803,4.60252944798315,0.21176041533231,21.7346072010697,9.66060942900276e-105,1.75021261025243e-100,"ENSG00000152583"
11193.4080254903,1.45147319921022,0.0845137559779433,17.1744017576148,4.12887465888969e-66,3.74014110975522e-62,"ENSG00000148175"
776.57332590035,3.18385317805503,0.201486528602413,15.8018166283347,3.02278637496734e-56,1.82546069184278e-52,"ENSG00000179094"
2737.91688319474,1.387151649662,0.0913347421340174,15.1875575192034,4.27556363711938e-52,1.9365096603423e-48,"ENSG00000134686"
3656.16117849273,2.2034493704985,0.147265548510218,14.9624225950282,1.29234508338221e-50,4.68268317512709e-47,"ENSG00000125148"
3408.96081621086,2.94901196480505,0.201570380348687,14.6301850485358,1.80296106224297e-48,5.44404092744264e-45,"ENSG00000120129"
2341.72418995625,3.30522671875593,0.228129131464289,14.4884026758912,1.43439770145971e-47,3.71242616533508e-44,"ENSG00000189221"
385.05721715739,7.17596498155622,0.497220257912703,14.4321653580255,3.24723993005851e-47,7.35378072660875e-44,"ENSG00000109906"
2649.77043186231,-2.49991423751288,0.17883048527355,-13.9792398018093,2.08705363398186e-44,4.20123896520548e-41,"ENSG00000178695"
12703.1983347364,3.85775170616295,0.279597129638568,13.7975368743943,2.63710056454362e-43,4.77763509278367e-40,"ENSG00000101347"
5392.99661043581,2.02995076814587,0.151602149883447,13.3899866836091,6.91931524884402e-41,1.13961122148461e-37,"ENSG00000162614"
229.633647428552,-2.21692886843749,0.166594440712153,-13.307340022636,2.09819605338541e-40,3.16775149159863e-37,"ENSG00000196517"
2564.32866560723,3.93843241394526,0.29722748406641,13.2505660649648,4.47812749110444e-40,6.24078736587225e-37,"ENSG00000096060"
2250.52933573023,-1.01449780914811,0.0819905073572051,-12.3733568903079,3.64272745963343e-35,4.7139495275842e-32,"ENSG00000116584"
1467.60868221301,1.52096273230694,0.12324176494746,12.3412930101687,5.42771532681665e-35,6.55559457172915e-32,"ENSG00000162616"
7432.73150739477,2.16220327528654,0.177445437998663,12.1851725221746,3.7286345128458e-34,4.22197946682671e-31,"ENSG00000166741"
498.677472491256,1.15804652396664,0.0967221693861406,11.9729171845123,4.92654699272714e-33,5.2502501098375e-30,"ENSG00000183044"
1303.2387264498,-1.3503169726719,0.11590241080114,-11.6504649328539,2.28210323059248e-31,2.29693690159133e-28,"ENSG00000144369"
2057.14536422477,2.89493120122078,0.250802449181831,11.5426751639175,8.03856644632159e-31,7.66498464778991e-28,"ENSG00000198624"
5596.21756050771,1.12454701448673,0.0978222712117228,11.4958178802944,1.38463268652048e-30,1.25426951908458e-27,"ENSG00000164125"
100987.846887009,-1.29949041379662,0.115078239613537,-11.292234032782,1.43346165329405e-29,1.2366678463204e-26,"ENSG00000108821"
19610.6066576928,3.00413747189964,0.268967676307559,11.169139404188,5.77375610940544e-29,4.75468815609538e-26,"ENSG00000135821"
561.090929205979,4.58215804275455,0.412907957894193,11.0972868290631,1.29309881945708e-28,1.01856831791756e-25,"ENSG00000163884"
1920.66981763038,1.55675028657636,0.140890744258416,11.0493439066588,2.20822785615816e-28,1.66693600291739e-25,"ENSG00000164647"
508.154144887729,-3.60935925518561,0.326838678529487,-11.0432439374215,2.36343457469191e-28,1.71273376758773e-25,"ENSG00000162692"
1570.59625055931,1.20686060949892,0.109470288492198,11.0245494564942,2.9097186252469e-28,2.027514320523e-25,"ENSG00000077684"
1223.43260409568,2.25391790503345,0.205614621286806,10.961856170187,5.8291350450665e-28,3.91134961523962e-25,"ENSG00000139132"
1010.26383858497,1.35685879116701,0.12541126542992,10.8192735837214,2.78979721980542e-27,1.8050984368291e-24,"ENSG00000114098"
630.856880331796,-1.27246834030765,0.118131855166214,-10.7715936443837,4.68815202389104e-27,2.92880173161496e-24,"ENSG00000181467"
5040.36609422548,1.02829771485083,0.0956605281469511,10.7494463470993,5.96183911018671e-27,3.60035463864175e-24,"ENSG00000123562"
495.088726091201,3.30053722755365,0.308767076380359,10.689407906586,1.14097027655171e-26,6.66805112912496e-24,"ENSG00000165995"
152.368840294829,-2.78659208271812,0.261815885844003,-10.6433269842856,1.87318927926129e-26,1.06051781788678e-23,"ENSG00000145777"
3232.58445513152,2.43985310471226,0.229497364819919,10.6312902835584,2.13142966910383e-26,1.170154888338e-23,"ENSG00000116285"
1701.18244622366,1.10497884818795,0.104713562742569,10.5523947351927,4.95186211486648e-26,2.63861429220694e-23,"ENSG00000177666"
2987.58090732893,-1.16912903176675,0.111923569268767,-10.4457804500432,1.53190125744359e-25,7.92955859460158e-23,"ENSG00000183160"
160.221071388445,-2.47257448328612,0.236901199160113,-10.4371547803563,1.67763633827364e-25,8.44270487236207e-23,"ENSG00000163491"
3082.0124237997,2.70057506627681,0.261140782575573,10.3414527583231,4.5754800119721e-25,2.24037760478104e-22,"ENSG00000103196"
1683.23738372748,2.11013536200307,0.205825586310954,10.2520556351782,1.15853038522766e-24,5.51441324656587e-22,"ENSG00000119138"
2266.22369597051,1.0806349879698,0.105430855525729,10.2497033015737,1.18707355862488e-24,5.51441324656587e-22,"ENSG00000163697"
1974.84153683855,2.16284934432739,0.21169760595643,10.216692506067,1.66939967197718e-24,7.56112846430266e-22,"ENSG00000185950"
167.609956491332,2.93262860782224,0.287523441974995,10.1996156823877,1.99058611677774e-24,8.79596309211277e-22,"ENSG00000157150"
1975.81009142533,-0.991142566212793,0.0980599118619273,-10.1075204677765,5.11627409474173e-24,2.20694137558181e-21,"ENSG00000139289"
627.520278173619,2.35556725709439,0.23323161562689,10.0996910335805,5.54165061701631e-24,2.32306436998338e-21,"ENSG00000141401"
70.3008977979479,2.33453981083619,0.231189889087409,10.097932137307,5.64192925314724e-24,2.32306436998338e-21,"ENSG00000158246"
26347.5156107215,-0.963931060048014,0.0956379367944733,-10.0789612611521,6.84458579025232e-24,2.75563023915559e-21,"ENSG00000166482"
3055.93089817239,1.54787232792397,0.15609326481643,9.91633002067262,3.53516270691713e-23,1.36269239917484e-20,"ENSG00000133142"
12285.6462530561,3.74283137220311,0.377403269714407,9.91732629935991,3.50006270516487e-23,1.36269239917484e-20,"ENSG00000211445"
